Epochs,Batch Size,LSTM Units,Learning Rate,Text Length used,Number of Words used,Final Accuracy
10,128,128,0.001,100000,10,0.058
10,128,128,0.001,10000,10,0.0552
10,128,128,0.01,100000,10,0.2417
10,128,128,0.01,10000,10,0.1158
10,128,64,0.001,100000,10,0.0579
10,128,64,0.001,10000,10,0.0552
10,128,64,0.01,100000,10,0.1825
10,128,64,0.01,10000,10,0.1004
10,256,128,0.001,100000,10,0.0579
10,256,128,0.001,10000,10,0.0552
10,256,128,0.01,100000,10,0.1272
10,256,128,0.01,10000,10,0.0523
10,256,64,0.001,100000,10,0.0579
10,256,64,0.001,10000,10,0.0552
10,256,64,0.01,100000,10,0.1089
10,256,64,0.01,10000,10,0.0582
1,128,128,0.01,100000,10,0.0552
1,128,128,0.01,10000,10,0.0243
20,128,128,0.001,100000,10,0.0736
20,128,128,0.001,10000,10,0.0564
20,128,128,0.01,100000,10,0.8408
20,128,128,0.01,10000,10,0.7672
20,128,64,0.001,100000,10,0.0611
20,128,64,0.001,10000,10,0.0558
20,128,64,0.01,100000,10,0.4164
20,128,64,0.01,10000,10,0.3919
20,256,128,0.001,100000,10,0.0584
20,256,128,0.001,10000,10,0.0558
20,256,128,0.01,100000,10,0.4851
20,256,128,0.01,10000,10,0.1871
20,256,64,0.001,100000,10,0.0581
20,256,64,0.001,10000,10,0.0552
20,256,64,0.01,100000,10,0.2275
20,256,64,0.01,10000,10,0.1805
30,128,128,0.001,100000,10,0.1047
30,128,128,0.001,10000,10,0.0653
30,128,128,0.01,100000,10,0.9941
30,128,128,0.01,10000,10,0.9863
30,128,64,0.001,100000,10,0.0796
30,128,64,0.001,10000,10,0.0558
30,128,64,0.01,100000,10,0.6815
30,128,64,0.01,10000,10,0.9412
30,256,128,0.001,100000,10,0.0679
30,256,128,0.001,10000,10,0.057
30,256,128,0.01,100000,10,0.975
30,256,128,0.01,10000,10,0.769
30,256,64,0.001,100000,10,0.0581
30,256,64,0.001,10000,10,0.0558
30,256,64,0.01,100000,10,0.4255
30,256,64,0.01,10000,10,0.3397
